,train_id,station,time,color
141,IC3624,Snippeling Aansluiting,09:43,Green
142,IC3624,Deventer,09:45,Green
143,IC3624,Deventer,09:46,Green
144,IC3624,Deventer aansluiting Noord,09:47,Green
145,IC3626,Snippeling Aansluiting,10:13,Green
146,IC3626,Deventer,10:15,Green
147,IC3626,Deventer,10:16,Green
148,IC3626,Deventer aansluiting Noord,10:17,Green
149,IC1530,Deventer,09:19,Green
150,IC1530,Apeldoorn,09:29,Green
151,IC1530,Apeldoorn,09:30,Green
152,IC1530,Amersfoort Centraal,09:54,Green
153,IC1532,Deventer,09:48,Green
154,IC1532,Apeldoorn,09:58,Green
155,IC1532,Apeldoorn,10:00,Green
156,IC1532,Amersfoort Centraal,10:24,Green
157,IC17930,Hengelo,08:38,Green
158,IC17930,Hengelo,08:39,Green
159,IC17930,Almelo,08:49,Green
160,IC17930,Almelo,08:50,Green
161,IC17930,Wierden,08:54,Green
162,IC17934,Hengelo,09:38,Green
163,IC17934,Hengelo,09:39,Green
164,IC17934,Almelo,09:49,Green
165,IC17934,Almelo,09:50,Green
166,IC17934,Wierden,09:54,Green
167,STOP31228,Oldenzaal,08:03,Blue
168,STOP31228,Hengelo Oost,08:09,Blue
169,STOP31228,Hengelo,08:13,Blue
170,STOP31228,Hengelo,08:16,Blue
171,STOP31230,Oldenzaal,08:33,Blue
172,STOP31230,Hengelo Oost,08:39,Blue
173,STOP31230,Hengelo,08:43,Blue
174,STOP31230,Hengelo,08:46,Blue
175,STOP31232,Oldenzaal,09:03,Blue
176,STOP31232,Hengelo Oost,09:09,Blue
177,STOP31232,Hengelo,09:13,Blue
178,STOP31232,Hengelo,09:16,Blue
179,STOP31234,Oldenzaal,09:33,Blue
180,STOP31234,Hengelo Oost,09:39,Blue
181,STOP31234,Hengelo,09:43,Blue
182,STOP31234,Hengelo,09:46,Blue
183,SPR7928,Hengelo,08:13,Blue
184,SPR7928,Hengelo,08:16,Blue
185,SPR7928,Borne,08:21,Blue
186,SPR7928,Almelo de Riet,08:26,Blue
187,SPR7928,Almelo,08:29,Blue
188,SPR7928,Almelo,08:30,Blue
189,SPR7928,Wierden,08:34,Blue
190,SPR7928,Wierden,08:36,Blue
191,SPR7930,Hengelo,08:43,Blue
192,SPR7930,Hengelo,08:46,Blue
193,SPR7930,Borne,08:51,Blue
194,SPR7930,Almelo de Riet,08:56,Blue
195,SPR7930,Almelo,08:59,Blue
196,SPR7930,Almelo,09:00,Blue
197,SPR7930,Wierden,09:04,Blue
198,SPR7930,Wierden,09:07,Blue
199,SPR7932,Hengelo,09:13,Blue
200,SPR7932,Hengelo,09:16,Blue
201,SPR7932,Borne,09:21,Blue
202,SPR7932,Almelo de Riet,09:26,Blue
203,SPR7932,Almelo,09:29,Blue
204,SPR7932,Almelo,09:30,Blue
205,SPR7932,Wierden,09:34,Blue
206,SPR7932,Wierden,09:36,Blue
207,SPR7934,Hengelo,09:43,Blue
208,SPR7934,Hengelo,09:46,Blue
209,SPR7934,Borne,09:51,Blue
210,SPR7934,Almelo de Riet,09:56,Blue
211,SPR7934,Almelo,09:59,Blue
212,SPR7934,Almelo,10:00,Blue
213,SPR7934,Wierden,10:04,Blue
214,SPR7934,Wierden,10:07,Blue
215,GOE3,Bad Bentheim,07:58,Orange
216,GOE3,Hengelo,08:24,Orange
217,GOE3,Hengelo,08:29,Orange
218,GOE3,Almelo,08:39,Orange
219,GOE3,Deventer,09:07,Orange
220,GOE3,Amersfoort Centraal,09:51,Orange
221,GOE2,Bad Bentheim,08:58,Orange
222,GOE2,Hengelo,09:24,Orange
223,GOE2,Hengelo,09:29,Orange
224,GOE2,Almelo,09:39,Orange
225,GOE2,Deventer,10:07,Orange
226,GOE2,Amersfoort Centraal,10:51,Orange
227,GOE1,Bad Bentheim,08:32,Orange
228,GOE1,Almelo,09:09,Orange
229,GOE1,Deventer,09:37,Orange
230,GOE1,Amersfoort Centraal,10:21,Orange
231,GOE4,Bad Bentheim,09:32,Orange
232,GOE4,Almelo,10:09,Orange
233,GOE4,Deventer,10:37,Orange
234,GOE4,Amersfoort Centraal,11:21,Orange
