train_id,station,time,color
ICE142,Bad Bentheim,17:51,#b50600ff
ICE142,Hengelo,18:07,#b50600ff
ICE142,Hengelo,18:09,#b50600ff
ICE142,Deventer,18:41,#b50600ff
ICE142,Deventer,18:47,#b50600ff
ICE142,Apeldoorn,18:57,#b50600ff
ICE142,Apeldoorn,18:59,#b50600ff
ICE142,Amersfoort Centraal,19:24,#b50600ff
STOP31268,Oldenzaal,18:03,#2100b2ff
STOP31268,Hengelo Oost,18:09,#2100b2ff
STOP31268,Hengelo,18:13,#2100b2ff
STOP31268,Hengelo,18:16,#2100b2ff
STOP31270,Oldenzaal,18:33,#2100b2ff
STOP31270,Hengelo Oost,18:39,#2100b2ff
STOP31270,Hengelo,18:43,#2100b2ff
STOP31270,Hengelo,18:46,#2100b2ff
STOP31272,Oldenzaal,19:03,#2100b2ff
STOP31272,Hengelo Oost,19:09,#2100b2ff
STOP31272,Hengelo,19:13,#2100b2ff
STOP31272,Hengelo,19:16,#2100b2ff
STOP31274,Oldenzaal,19:33,#2100b2ff
STOP31274,Hengelo Oost,19:39,#2100b2ff
STOP31274,Hengelo,19:43,#2100b2ff
STOP31274,Hengelo,19:46,#2100b2ff
SPR7068,Hengelo,18:02,#3543b2ff
SPR7068,Borne,18:07,#3543b2ff
SPR7068,Almelo de Riet,18:12,#3543b2ff
SPR7068,Almelo,18:15,#3543b2ff
SPR7068,Almelo,18:23,#3543b2ff
SPR7068,Wierden,18:28,#3543b2ff
SPR7068,Wierden,18:28,#3543b2ff
SPR7068,Rijssen,18:33,#3543b2ff
SPR7068,Holten,18:39,#3543b2ff
SPR7068,Deventer Colmschate,18:49,#3543b2ff
SPR7068,Deventer,18:54,#3543b2ff
SPR7068,Deventer,18:55,#3543b2ff
SPR7068,Twello,19:00,#3543b2ff
SPR7068,Apeldoorn Osseveld,19:05,#3543b2ff
SPR7068,Apeldoorn,19:10,#3543b2ff
SPR7070,Almelo,18:53,#3543b2ff
SPR7070,Wierden,18:58,#3543b2ff
SPR7070,Wierden,18:58,#3543b2ff
SPR7070,Rijssen,19:04,#3543b2ff
SPR7070,Holten,19:09,#3543b2ff
SPR7070,Deventer Colmschate,19:19,#3543b2ff
SPR7070,Deventer,19:24,#3543b2ff
SPR7070,Deventer,19:25,#3543b2ff
SPR7070,Twello,19:30,#3543b2ff
SPR7070,Apeldoorn Osseveld,19:35,#3543b2ff
SPR7070,Apeldoorn,19:40,#3543b2ff
SPR7072,Almelo,19:23,#3543b2ff
SPR7072,Wierden,19:28,#3543b2ff
SPR7072,Wierden,19:28,#3543b2ff
SPR7072,Rijssen,19:34,#3543b2ff
SPR7072,Holten,19:39,#3543b2ff
SPR7072,Deventer Colmschate,19:49,#3543b2ff
SPR7072,Deventer,19:54,#3543b2ff
SPR7072,Deventer,19:55,#3543b2ff
SPR7072,Twello,20:00,#3543b2ff
SPR7072,Apeldoorn Osseveld,20:05,#3543b2ff
SPR7072,Apeldoorn,20:10,#3543b2ff
SPR7074,Almelo,19:53,#3543b2ff
SPR7074,Wierden,19:58,#3543b2ff
SPR7074,Wierden,19:58,#3543b2ff
SPR7074,Rijssen,20:04,#3543b2ff
SPR7074,Holten,20:09,#3543b2ff
SPR7074,Deventer Colmschate,20:19,#3543b2ff
SPR7074,Deventer,20:24,#3543b2ff
SPR7074,Deventer,20:25,#3543b2ff
SPR7074,Twello,20:30,#3543b2ff
SPR7074,Apeldoorn Osseveld,20:35,#3543b2ff
SPR7074,Apeldoorn,20:40,#3543b2ff
IC 1768,Hengelo,18:23,#0d6200ff
IC 1768,Hengelo,18:24,#0d6200ff
IC 1768,Almelo,18:35,#0d6200ff
IC 1768,Almelo,18:36,#0d6200ff
IC 1768,Deventer,19:00,#0d6200ff
IC 1768,Deventer,19:03,#0d6200ff
IC 1768,Apeldoorn,19:13,#0d6200ff
IC 1768,Apeldoorn,19:14,#0d6200ff
IC 1768,Amersfoort Centraal,19:38,#0d6200ff
IC1770,Hengelo,18:53,#0d6200ff
IC1770,Hengelo,18:54,#0d6200ff
IC1770,Almelo,19:05,#0d6200ff
IC1770,Almelo,19:06,#0d6200ff
IC1770,Deventer,19:30,#0d6200ff
IC1770,Deventer,19:33,#0d6200ff
IC1770,Apeldoorn,19:43,#0d6200ff
IC1770,Apeldoorn,19:44,#0d6200ff
IC1770,Amersfoort Centraal,20:08,#0d6200ff
IC1772,Hengelo,19:23,#0d6200ff
IC1772,Hengelo,19:24,#0d6200ff
IC1772,Almelo,19:35,#0d6200ff
IC1772,Almelo,19:36,#0d6200ff
IC1772,Deventer,20:00,#0d6200ff
IC1772,Deventer,20:03,#0d6200ff
IC1772,Apeldoorn,20:13,#0d6200ff
IC1772,Apeldoorn,20:14,#0d6200ff
IC1772,Amersfoort Centraal,20:38,#0d6200ff
IC1774,Hengelo,19:53,#0d6200ff
IC1774,Hengelo,19:54,#0d6200ff
IC1774,Almelo,20:05,#0d6200ff
IC1774,Almelo,20:06,#0d6200ff
IC1774,Deventer,20:30,#0d6200ff
IC1774,Deventer,20:33,#0d6200ff
IC1774,Apeldoorn,20:43,#0d6200ff
IC1774,Apeldoorn,20:44,#0d6200ff
IC1774,Amersfoort Centraal,21:08,#0d6200ff
STOP20376,Bad Bentheim,18:08,#130066ff
STOP20376,Oldenzaal,18:18,#130066ff
STOP20376,Hengelo,18:26,#130066ff
STOP20378,Bad Bentheim,19:08,#130066ff
STOP20378,Oldenzaal,19:18,#130066ff
STOP20378,Hengelo,19:26,#130066ff
SPR31354,Barneveld Noord,19:17,#2486ffff
SPR31354,Hoevelaken,19:24,#2486ffff
SPR31354,Amersfoort Centraal,19:30,#2486ffff
SPR31458,Barneveld Noord,19:32,#899ee4ff
SPR31458,Hoevelaken,19:39,#899ee4ff
SPR31458,Amersfoort Centraal,19:45,#899ee4ff
SPR31356,Barneveld Noord,19:47,#2486ffff
SPR31356,Hoevelaken,19:54,#2486ffff
SPR31356,Amersfoort Centraal,20:00,#2486ffff
SPR31460,Barneveld Noord,20:02,#899ee4ff
SPR31460,Hoevelaken,20:09,#899ee4ff
SPR31460,Amersfoort Centraal,20:15,#899ee4ff
SPR31358,Barneveld Noord,20:17,#2486ffff
SPR31358,Hoevelaken,20:24,#2486ffff
SPR31358,Amersfoort Centraal,20:30,#2486ffff
SPR31462,Barneveld Noord,20:32,#899ee4ff
SPR31462,Hoevelaken,20:39,#899ee4ff
SPR31462,Amersfoort Centraal,20:45,#899ee4ff
SPR31360,Barneveld Noord,20:47,#2486ffff
SPR31360,Hoevelaken,20:54,#2486ffff
SPR31360,Amersfoort Centraal,21:00,#2486ffff
IC3660,Snippeling Aansluiting,18:43,#8ef375ff
IC3660,Deventer,18:45,#8ef375ff
IC3660,Deventer,18:46,#8ef375ff
IC3660,Deventer aansluiting Noord,18:47,#8ef375ff
IC3662,Snippeling Aansluiting,19:13,#8ef375ff
IC3662,Deventer,19:15,#8ef375ff
IC3662,Deventer,19:16,#8ef375ff
IC3662,Deventer aansluiting Noord,19:17,#8ef375ff
IC3664,Snippeling Aansluiting,19:43,#8ef375ff
IC3664,Deventer,19:45,#8ef375ff
IC3664,Deventer,19:46,#8ef375ff
IC3664,Deventer aansluiting Noord,19:47,#8ef375ff
IC3666,Snippeling Aansluiting,20:13,#8ef375ff
IC3666,Deventer,20:15,#8ef375ff
IC3666,Deventer,20:16,#8ef375ff
IC3666,Deventer aansluiting Noord,20:17,#8ef375ff
IC17970,Hengelo,18:38,#38972aff
IC17970,Hengelo,18:39,#38972aff
IC17970,Almelo,18:49,#38972aff
IC17970,Almelo,18:50,#38972aff
IC17970,Wierden,18:54,#38972aff
IC17974,Hengelo,19:38,#38972aff
IC17974,Hengelo,19:39,#38972aff
IC17974,Almelo,19:49,#38972aff
IC17974,Almelo,19:50,#38972aff
IC17974,Wierden,19:54,#38972aff
SPR7968,Hengelo,18:13,#228fb2ff
SPR7968,Hengelo,18:16,#228fb2ff
SPR7968,Borne,18:21,#228fb2ff
SPR7968,Almelo de Riet,18:26,#228fb2ff
SPR7968,Almelo,18:29,#228fb2ff
SPR7968,Almelo,18:30,#228fb2ff
SPR7968,Wierden,18:34,#228fb2ff
SPR7968,Wierden,18:36,#228fb2ff
SPR7970,Hengelo,18:43,#228fb2ff
SPR7970,Hengelo,18:46,#228fb2ff
SPR7970,Borne,18:51,#228fb2ff
SPR7970,Almelo de Riet,18:56,#228fb2ff
SPR7970,Almelo,18:59,#228fb2ff
SPR7970,Almelo,19:00,#228fb2ff
SPR7970,Wierden,19:04,#228fb2ff
SPR7970,Wierden,19:07,#228fb2ff
SPR7972,Hengelo,19:13,#228fb2ff
SPR7972,Hengelo,19:16,#228fb2ff
SPR7972,Borne,19:21,#228fb2ff
SPR7972,Almelo de Riet,19:26,#228fb2ff
SPR7972,Almelo,19:29,#228fb2ff
SPR7972,Almelo,19:30,#228fb2ff
SPR7972,Wierden,19:34,#228fb2ff
SPR7972,Wierden,19:36,#228fb2ff
SPR7974,Hengelo,19:43,#228fb2ff
SPR7974,Hengelo,19:46,#228fb2ff
SPR7974,Borne,19:51,#228fb2ff
SPR7974,Almelo de Riet,19:56,#228fb2ff
SPR7974,Almelo,19:59,#228fb2ff
SPR7974,Almelo,20:00,#228fb2ff
SPR7974,Wierden,20:04,#228fb2ff
SPR7974,Wierden,20:07,#228fb2ff
GOE1,Bad Bentheim,18:32,#ffa200ff
GOE1,Almelo,19:09,#ffa200ff
GOE1,Deventer,19:37,#ffa200ff
GOE1,Amersfoort Centraal,20:21,#ffa200ff
GOE4,Bad Bentheim,19:32,#ffa200ff
GOE4,Almelo,20:09,#ffa200ff
GOE4,Deventer,20:37,#ffa200ff
GOE4,Amersfoort Centraal,21:21,#ffa200ff
GOE2,Bad Bentheim,17:58,#ffa200ff
GOE2,Hengelo,18:24,#ffa200ff
GOE2,Hengelo,18:29,#ffa200ff
GOE2,Almelo,18:39,#ffa200ff
GOE2,Deventer,19:07,#ffa200ff
GOE2,Amersfoort Centraal,19:51,#ffa200ff
GOE3,Bad Bentheim,18:58,#ffa200ff
GOE3,Hengelo,19:24,#ffa200ff
GOE3,Hengelo,19:29,#ffa200ff
GOE3,Almelo,19:39,#ffa200ff
GOE3,Deventer,20:07,#ffa200ff
GOE3,Amersfoort Centraal,20:51,#ffa200ff
