train_id,station,time,color
ICE144,Bad Bentheim,15:51,#b50600ff
ICE144,Hengelo,16:07,#b50600ff
ICE144,Hengelo,16:09,#b50600ff
ICE144,Deventer,16:41,#b50600ff
ICE144,Deventer,16:47,#b50600ff
ICE144,Apeldoorn,16:57,#b50600ff
ICE144,Apeldoorn,16:59,#b50600ff
ICE144,Amersfoort Centraal,17:24,#b50600ff
STOP31260,Oldenzaal,16:03,#2100b2ff
STOP31260,Hengelo Oost,16:09,#2100b2ff
STOP31260,Hengelo,16:13,#2100b2ff
STOP31260,Hengelo,16:16,#2100b2ff
STOP31262,Oldenzaal,16:33,#2100b2ff
STOP31262,Hengelo Oost,16:39,#2100b2ff
STOP31262,Hengelo,16:43,#2100b2ff
STOP31262,Hengelo,16:46,#2100b2ff
STOP31264,Oldenzaal,17:03,#2100b2ff
STOP31264,Hengelo Oost,17:09,#2100b2ff
STOP31264,Hengelo,17:13,#2100b2ff
STOP31264,Hengelo,17:16,#2100b2ff
STOP31266,Oldenzaal,17:33,#2100b2ff
STOP31266,Hengelo Oost,17:39,#2100b2ff
STOP31266,Hengelo,17:43,#2100b2ff
STOP31266,Hengelo,17:46,#2100b2ff
SPR7060,Hengelo,16:02,#3543b2ff
SPR7060,Borne,16:07,#3543b2ff
SPR7060,Almelo de Riet,16:12,#3543b2ff
SPR7060,Almelo,16:15,#3543b2ff
SPR7060,Almelo,16:23,#3543b2ff
SPR7060,Wierden,16:28,#3543b2ff
SPR7060,Wierden,16:28,#3543b2ff
SPR7060,Rijssen,16:33,#3543b2ff
SPR7060,Holten,16:39,#3543b2ff
SPR7060,Deventer Colmschate,16:49,#3543b2ff
SPR7060,Deventer,16:54,#3543b2ff
SPR7060,Deventer,16:55,#3543b2ff
SPR7060,Twello,17:00,#3543b2ff
SPR7060,Apeldoorn Osseveld,17:05,#3543b2ff
SPR7060,Apeldoorn,17:10,#3543b2ff
SPR7062,Hengelo,16:32,#3543b2ff
SPR7062,Borne,16:37,#3543b2ff
SPR7062,Almelo de Riet,16:42,#3543b2ff
SPR7062,Almelo,16:45,#3543b2ff
SPR7062,Almelo,16:53,#3543b2ff
SPR7062,Wierden,16:58,#3543b2ff
SPR7062,Wierden,16:58,#3543b2ff
SPR7062,Rijssen,17:03,#3543b2ff
SPR7062,Holten,17:09,#3543b2ff
SPR7062,Deventer Colmschate,17:19,#3543b2ff
SPR7062,Deventer,17:24,#3543b2ff
SPR7062,Deventer,17:25,#3543b2ff
SPR7062,Twello,17:30,#3543b2ff
SPR7062,Apeldoorn Osseveld,17:35,#3543b2ff
SPR7062,Apeldoorn,17:40,#3543b2ff
SPR7064,Hengelo,17:01,#3543b2ff
SPR7064,Hengelo,17:02,#3543b2ff
SPR7064,Borne,17:07,#3543b2ff
SPR7064,Almelo de Riet,17:12,#3543b2ff
SPR7064,Almelo,17:15,#3543b2ff
SPR7064,Almelo,17:23,#3543b2ff
SPR7064,Wierden,17:28,#3543b2ff
SPR7064,Wierden,17:28,#3543b2ff
SPR7064,Rijssen,17:33,#3543b2ff
SPR7064,Holten,17:39,#3543b2ff
SPR7064,Deventer Colmschate,17:49,#3543b2ff
SPR7064,Deventer,17:54,#3543b2ff
SPR7064,Deventer,17:55,#3543b2ff
SPR7064,Twello,18:00,#3543b2ff
SPR7064,Apeldoorn Osseveld,18:05,#3543b2ff
SPR7064,Apeldoorn,18:10,#3543b2ff
SPR7066,Hengelo,17:31,#3543b2ff
SPR7066,Hengelo,17:33,#3543b2ff
SPR7066,Borne,17:38,#3543b2ff
SPR7066,Almelo de Riet,17:43,#3543b2ff
SPR7066,Almelo,17:46,#3543b2ff
SPR7066,Almelo,17:53,#3543b2ff
SPR7066,Wierden,17:58,#3543b2ff
SPR7066,Wierden,17:58,#3543b2ff
SPR7066,Rijssen,18:03,#3543b2ff
SPR7066,Holten,18:09,#3543b2ff
SPR7066,Deventer Colmschate,18:19,#3543b2ff
SPR7066,Deventer,18:24,#3543b2ff
SPR7066,Deventer,18:25,#3543b2ff
SPR7066,Twello,18:30,#3543b2ff
SPR7066,Apeldoorn Osseveld,18:35,#3543b2ff
SPR7066,Apeldoorn,18:40,#3543b2ff
IC 1760,Hengelo,16:23,#0d6200ff
IC 1760,Hengelo,16:24,#0d6200ff
IC 1760,Almelo,16:35,#0d6200ff
IC 1760,Almelo,16:36,#0d6200ff
IC 1760,Deventer,17:00,#0d6200ff
IC 1760,Deventer,17:03,#0d6200ff
IC 1760,Apeldoorn,17:13,#0d6200ff
IC 1760,Apeldoorn,17:14,#0d6200ff
IC 1760,Amersfoort Centraal,17:38,#0d6200ff
IC1762,Hengelo,16:53,#0d6200ff
IC1762,Hengelo,16:54,#0d6200ff
IC1762,Almelo,17:05,#0d6200ff
IC1762,Almelo,17:06,#0d6200ff
IC1762,Deventer,17:30,#0d6200ff
IC1762,Deventer,17:33,#0d6200ff
IC1762,Apeldoorn,17:43,#0d6200ff
IC1762,Apeldoorn,17:44,#0d6200ff
IC1762,Amersfoort Centraal,18:08,#0d6200ff
IC1764,Hengelo,17:23,#0d6200ff
IC1764,Hengelo,17:24,#0d6200ff
IC1764,Almelo,17:35,#0d6200ff
IC1764,Almelo,17:36,#0d6200ff
IC1764,Deventer,18:00,#0d6200ff
IC1764,Deventer,18:03,#0d6200ff
IC1764,Apeldoorn,18:13,#0d6200ff
IC1764,Apeldoorn,18:14,#0d6200ff
IC1764,Amersfoort Centraal,18:38,#0d6200ff
IC1766,Hengelo,17:53,#0d6200ff
IC1766,Hengelo,17:54,#0d6200ff
IC1766,Almelo,18:05,#0d6200ff
IC1766,Almelo,18:06,#0d6200ff
IC1766,Deventer,18:30,#0d6200ff
IC1766,Deventer,18:33,#0d6200ff
IC1766,Apeldoorn,18:43,#0d6200ff
IC1766,Apeldoorn,18:44,#0d6200ff
IC1766,Amersfoort Centraal,19:08,#0d6200ff
STOP20372,Bad Bentheim,16:08,#130066ff
STOP20372,Oldenzaal,16:18,#130066ff
STOP20372,Hengelo,16:26,#130066ff
STOP20374,Bad Bentheim,17:08,#130066ff
STOP20374,Oldenzaal,17:18,#130066ff
STOP20374,Hengelo,17:26,#130066ff
SPR31346,Barneveld Noord,17:17,#2486ffff
SPR31346,Hoevelaken,17:24,#2486ffff
SPR31346,Amersfoort Centraal,17:30,#2486ffff
SPR31450,Barneveld Noord,17:32,#899ee4ff
SPR31450,Hoevelaken,17:39,#899ee4ff
SPR31450,Amersfoort Centraal,17:45,#899ee4ff
SPR31348,Barneveld Noord,17:47,#2486ffff
SPR31348,Hoevelaken,17:54,#2486ffff
SPR31348,Amersfoort Centraal,18:00,#2486ffff
SPR31452,Barneveld Noord,18:02,#899ee4ff
SPR31452,Hoevelaken,18:09,#899ee4ff
SPR31452,Amersfoort Centraal,18:15,#899ee4ff
SPR31350,Barneveld Noord,18:17,#2486ffff
SPR31350,Hoevelaken,18:24,#2486ffff
SPR31350,Amersfoort Centraal,18:30,#2486ffff
SPR31454,Barneveld Noord,18:32,#899ee4ff
SPR31454,Hoevelaken,18:39,#899ee4ff
SPR31454,Amersfoort Centraal,18:45,#899ee4ff
SPR31352,Barneveld Noord,18:47,#2486ffff
SPR31352,Hoevelaken,18:54,#2486ffff
SPR31352,Amersfoort Centraal,19:00,#2486ffff
SPR31456,Barneveld Noord,19:02,#899ee4ff
SPR31456,Hoevelaken,19:09,#899ee4ff
SPR31456,Amersfoort Centraal,19:15,#899ee4ff
IC3652,Snippeling Aansluiting,16:43,#8ef375ff
IC3652,Deventer,16:45,#8ef375ff
IC3652,Deventer,16:46,#8ef375ff
IC3652,Deventer aansluiting Noord,16:47,#8ef375ff
IC3654,Snippeling Aansluiting,17:13,#8ef375ff
IC3654,Deventer,17:15,#8ef375ff
IC3654,Deventer,17:16,#8ef375ff
IC3654,Deventer aansluiting Noord,17:17,#8ef375ff
IC3656,Snippeling Aansluiting,17:43,#8ef375ff
IC3656,Deventer,17:45,#8ef375ff
IC3656,Deventer,17:46,#8ef375ff
IC3656,Deventer aansluiting Noord,17:47,#8ef375ff
IC3658,Snippeling Aansluiting,18:13,#8ef375ff
IC3658,Deventer,18:15,#8ef375ff
IC3658,Deventer,18:16,#8ef375ff
IC3658,Deventer aansluiting Noord,18:17,#8ef375ff
IC1562,Deventer,17:19,#32b500ff
IC1562,Apeldoorn,17:29,#32b500ff
IC1562,Apeldoorn,17:30,#32b500ff
IC1562,Amersfoort Centraal,17:54,#32b500ff
IC1564,Deventer,17:49,#32b500ff
IC1564,Apeldoorn,17:59,#32b500ff
IC1564,Apeldoorn,18:00,#32b500ff
IC1564,Amersfoort Centraal,18:24,#32b500ff
IC1566,Deventer,18:18,#32b500ff
IC1566,Apeldoorn,18:28,#32b500ff
IC1566,Apeldoorn,18:30,#32b500ff
IC1566,Amersfoort Centraal,18:54,#32b500ff
IC17962,Hengelo,16:38,#38972aff
IC17962,Hengelo,16:39,#38972aff
IC17962,Almelo,16:49,#38972aff
IC17962,Almelo,16:50,#38972aff
IC17962,Wierden,16:54,#38972aff
IC17966,Hengelo,17:38,#38972aff
IC17966,Hengelo,17:39,#38972aff
IC17966,Almelo,17:49,#38972aff
IC17966,Almelo,17:50,#38972aff
IC17966,Wierden,17:54,#38972aff
SPR7960,Hengelo,16:13,#228fb2ff
SPR7960,Hengelo,16:16,#228fb2ff
SPR7960,Borne,16:21,#228fb2ff
SPR7960,Almelo de Riet,16:26,#228fb2ff
SPR7960,Almelo,16:29,#228fb2ff
SPR7960,Almelo,16:30,#228fb2ff
SPR7960,Wierden,16:34,#228fb2ff
SPR7960,Wierden,16:36,#228fb2ff
SPR7962,Hengelo,16:43,#228fb2ff
SPR7962,Hengelo,16:46,#228fb2ff
SPR7962,Borne,16:51,#228fb2ff
SPR7962,Almelo de Riet,16:56,#228fb2ff
SPR7962,Almelo,16:59,#228fb2ff
SPR7962,Almelo,17:00,#228fb2ff
SPR7962,Wierden,17:04,#228fb2ff
SPR7962,Wierden,17:07,#228fb2ff
SPR7964,Hengelo,17:13,#228fb2ff
SPR7964,Hengelo,17:16,#228fb2ff
SPR7964,Borne,17:21,#228fb2ff
SPR7964,Almelo de Riet,17:26,#228fb2ff
SPR7964,Almelo,17:29,#228fb2ff
SPR7964,Almelo,17:30,#228fb2ff
SPR7964,Wierden,17:34,#228fb2ff
SPR7964,Wierden,17:36,#228fb2ff
SPR7966,Hengelo,17:43,#228fb2ff
SPR7966,Hengelo,17:46,#228fb2ff
SPR7966,Borne,17:51,#228fb2ff
SPR7966,Almelo de Riet,17:56,#228fb2ff
SPR7966,Almelo,17:59,#228fb2ff
SPR7966,Almelo,18:00,#228fb2ff
SPR7966,Wierden,18:04,#228fb2ff
SPR7966,Wierden,18:07,#228fb2ff
GOE1,Bad Bentheim,16:32,#ffa200ff
GOE1,Almelo,17:09,#ffa200ff
GOE1,Deventer,17:37,#ffa200ff
GOE1,Amersfoort Centraal,18:21,#ffa200ff
GOE2,Bad Bentheim,15:58,#ffa200ff
GOE2,Hengelo,16:24,#ffa200ff
GOE2,Hengelo,16:29,#ffa200ff
GOE2,Almelo,16:39,#ffa200ff
GOE2,Deventer,17:07,#ffa200ff
GOE2,Amersfoort Centraal,17:51,#ffa200ff
GOE3,Bad Bentheim,16:58,#ffa200ff
GOE3,Hengelo,17:24,#ffa200ff
GOE3,Hengelo,17:29,#ffa200ff
GOE3,Almelo,17:39,#ffa200ff
GOE3,Deventer,18:07,#ffa200ff
GOE3,Amersfoort Centraal,18:51,#ffa200ff
GOE4,Bad Bentheim,17:32,#ffa200ff
GOE4,Almelo,18:09,#ffa200ff
GOE4,Deventer,18:37,#ffa200ff
GOE4,Amersfoort Centraal,19:21,#ffa200ff
