train_id,station,time,color
ICE146,Bad Bentheim,13:51,#b50600ff
ICE146,Hengelo,14:07,#b50600ff
ICE146,Hengelo,14:09,#b50600ff
ICE146,Deventer,14:41,#b50600ff
ICE146,Deventer,14:47,#b50600ff
ICE146,Apeldoorn,14:57,#b50600ff
ICE146,Apeldoorn,14:59,#b50600ff
ICE146,Amersfoort Centraal,15:24,#b50600ff
STOP31252,Oldenzaal,14:03,#2100b2ff
STOP31252,Hengelo Oost,14:09,#2100b2ff
STOP31252,Hengelo,14:13,#2100b2ff
STOP31252,Hengelo,14:16,#2100b2ff
STOP31254,Oldenzaal,14:33,#2100b2ff
STOP31254,Hengelo Oost,14:39,#2100b2ff
STOP31254,Hengelo,14:43,#2100b2ff
STOP31254,Hengelo,14:46,#2100b2ff
STOP31256,Oldenzaal,15:03,#2100b2ff
STOP31256,Hengelo Oost,15:09,#2100b2ff
STOP31256,Hengelo,15:13,#2100b2ff
STOP31256,Hengelo,15:16,#2100b2ff
STOP31258,Oldenzaal,15:33,#2100b2ff
STOP31258,Hengelo Oost,15:39,#2100b2ff
STOP31258,Hengelo,15:43,#2100b2ff
STOP31258,Hengelo,15:46,#2100b2ff
SPR7052,Almelo,14:23,#3543b2ff
SPR7052,Wierden,14:28,#3543b2ff
SPR7052,Rijssen,14:34,#3543b2ff
SPR7052,Holten,14:39,#3543b2ff
SPR7052,Deventer Colmschate,14:49,#3543b2ff
SPR7052,Deventer,14:54,#3543b2ff
SPR7052,Deventer,14:55,#3543b2ff
SPR7052,Twello,15:00,#3543b2ff
SPR7052,Apeldoorn Osseveld,15:05,#3543b2ff
SPR7052,Apeldoorn,15:10,#3543b2ff
SPR7054,Almelo,14:53,#3543b2ff
SPR7054,Wierden,14:58,#3543b2ff
SPR7054,Rijssen,15:04,#3543b2ff
SPR7054,Holten,15:09,#3543b2ff
SPR7054,Deventer Colmschate,15:19,#3543b2ff
SPR7054,Deventer,15:24,#3543b2ff
SPR7054,Deventer,15:25,#3543b2ff
SPR7054,Twello,15:30,#3543b2ff
SPR7054,Apeldoorn Osseveld,15:35,#3543b2ff
SPR7054,Apeldoorn,15:40,#3543b2ff
SPR7056,Almelo,15:23,#3543b2ff
SPR7056,Wierden,15:28,#3543b2ff
SPR7056,Rijssen,15:34,#3543b2ff
SPR7056,Holten,15:39,#3543b2ff
SPR7056,Deventer Colmschate,15:49,#3543b2ff
SPR7056,Deventer,15:54,#3543b2ff
SPR7056,Deventer,15:55,#3543b2ff
SPR7056,Twello,16:00,#3543b2ff
SPR7056,Apeldoorn Osseveld,16:05,#3543b2ff
SPR7056,Apeldoorn,16:10,#3543b2ff
SPR7058,Almelo,15:53,#3543b2ff
SPR7058,Wierden,15:58,#3543b2ff
SPR7058,Rijssen,16:04,#3543b2ff
SPR7058,Holten,16:09,#3543b2ff
SPR7058,Deventer Colmschate,16:19,#3543b2ff
SPR7058,Deventer,16:24,#3543b2ff
SPR7058,Deventer,16:25,#3543b2ff
SPR7058,Twello,16:30,#3543b2ff
SPR7058,Apeldoorn Osseveld,16:35,#3543b2ff
SPR7058,Apeldoorn,16:40,#3543b2ff
IC 1752,Hengelo,14:23,#0d6200ff
IC 1752,Hengelo,14:24,#0d6200ff
IC 1752,Almelo,14:35,#0d6200ff
IC 1752,Almelo,14:36,#0d6200ff
IC 1752,Deventer,15:00,#0d6200ff
IC 1752,Deventer,15:03,#0d6200ff
IC 1752,Apeldoorn,15:13,#0d6200ff
IC 1752,Apeldoorn,15:14,#0d6200ff
IC 1752,Amersfoort Centraal,15:38,#0d6200ff
IC1754,Hengelo,14:52,#0d6200ff
IC1754,Hengelo,14:54,#0d6200ff
IC1754,Almelo,15:05,#0d6200ff
IC1754,Almelo,15:06,#0d6200ff
IC1754,Deventer,15:30,#0d6200ff
IC1754,Deventer,15:33,#0d6200ff
IC1754,Apeldoorn,15:43,#0d6200ff
IC1754,Apeldoorn,15:44,#0d6200ff
IC1754,Amersfoort Centraal,16:08,#0d6200ff
IC1756,Hengelo,15:23,#0d6200ff
IC1756,Hengelo,15:24,#0d6200ff
IC1756,Almelo,15:35,#0d6200ff
IC1756,Almelo,15:36,#0d6200ff
IC1756,Deventer,16:00,#0d6200ff
IC1756,Deventer,16:03,#0d6200ff
IC1756,Apeldoorn,16:13,#0d6200ff
IC1756,Apeldoorn,16:14,#0d6200ff
IC1756,Amersfoort Centraal,16:38,#0d6200ff
IC1758,Hengelo,15:52,#0d6200ff
IC1758,Hengelo,15:54,#0d6200ff
IC1758,Almelo,16:05,#0d6200ff
IC1758,Almelo,16:06,#0d6200ff
IC1758,Deventer,16:30,#0d6200ff
IC1758,Deventer,16:33,#0d6200ff
IC1758,Apeldoorn,16:43,#0d6200ff
IC1758,Apeldoorn,16:44,#0d6200ff
IC1758,Amersfoort Centraal,17:08,#0d6200ff
STOP20368,Bad Bentheim,14:08,#130066ff
STOP20368,Oldenzaal,14:18,#130066ff
STOP20368,Hengelo,14:26,#130066ff
STOP20370,Bad Bentheim,15:08,#130066ff
STOP20370,Oldenzaal,15:18,#130066ff
STOP20370,Hengelo,15:26,#130066ff
SPR31338,Barneveld Noord,15:17,#2486ffff
SPR31338,Hoevelaken,15:24,#2486ffff
SPR31338,Amersfoort Centraal,15:30,#2486ffff
SPR31442,Barneveld Noord,15:32,#899ee4ff
SPR31442,Hoevelaken,15:39,#899ee4ff
SPR31442,Amersfoort Centraal,15:45,#899ee4ff
SPR31340,Barneveld Noord,15:47,#2486ffff
SPR31340,Hoevelaken,15:54,#2486ffff
SPR31340,Amersfoort Centraal,16:00,#2486ffff
SPR31444,Barneveld Noord,16:02,#899ee4ff
SPR31444,Hoevelaken,16:09,#899ee4ff
SPR31444,Amersfoort Centraal,16:15,#899ee4ff
SPR31342,Barneveld Noord,16:17,#2486ffff
SPR31342,Hoevelaken,16:24,#2486ffff
SPR31342,Amersfoort Centraal,16:30,#2486ffff
SPR31446,Barneveld Noord,16:32,#899ee4ff
SPR31446,Hoevelaken,16:39,#899ee4ff
SPR31446,Amersfoort Centraal,16:45,#899ee4ff
SPR31344,Barneveld Noord,16:47,#2486ffff
SPR31344,Hoevelaken,16:54,#2486ffff
SPR31344,Amersfoort Centraal,17:00,#2486ffff
SPR31448,Barneveld Noord,17:02,#899ee4ff
SPR31448,Hoevelaken,17:09,#899ee4ff
SPR31448,Amersfoort Centraal,17:15,#899ee4ff
IC3644,Snippeling Aansluiting,14:43,#8ef375ff
IC3644,Deventer,14:45,#8ef375ff
IC3644,Deventer,14:46,#8ef375ff
IC3644,Deventer aansluiting Noord,14:47,#8ef375ff
IC3646,Snippeling Aansluiting,15:13,#8ef375ff
IC3646,Deventer,15:15,#8ef375ff
IC3646,Deventer,15:16,#8ef375ff
IC3646,Deventer aansluiting Noord,15:17,#8ef375ff
IC3648,Snippeling Aansluiting,15:43,#8ef375ff
IC3648,Deventer,15:45,#8ef375ff
IC3648,Deventer,15:46,#8ef375ff
IC3648,Deventer aansluiting Noord,15:47,#8ef375ff
IC3650,Snippeling Aansluiting,16:13,#8ef375ff
IC3650,Deventer,16:15,#8ef375ff
IC3650,Deventer,16:16,#8ef375ff
IC3650,Deventer aansluiting Noord,16:17,#8ef375ff
IC1554,Deventer,15:19,#32b500ff
IC1554,Apeldoorn,15:29,#32b500ff
IC1554,Apeldoorn,15:30,#32b500ff
IC1554,Amersfoort Centraal,15:54,#32b500ff
IC1556,Deventer,15:49,#32b500ff
IC1556,Apeldoorn,15:59,#32b500ff
IC1556,Apeldoorn,16:00,#32b500ff
IC1556,Amersfoort Centraal,16:24,#32b500ff
IC1558,Deventer,16:18,#32b500ff
IC1558,Apeldoorn,16:28,#32b500ff
IC1558,Apeldoorn,16:30,#32b500ff
IC1558,Amersfoort Centraal,16:54,#32b500ff
IC17954,Hengelo,14:38,#38972aff
IC17954,Hengelo,14:39,#38972aff
IC17954,Almelo,14:49,#38972aff
IC17954,Almelo,14:50,#38972aff
IC17954,Wierden,14:54,#38972aff
IC17958,Hengelo,15:38,#38972aff
IC17958,Hengelo,15:39,#38972aff
IC17958,Almelo,15:49,#38972aff
IC17958,Almelo,15:50,#38972aff
IC17958,Wierden,15:54,#38972aff
SPR7952,Hengelo,14:13,#228fb2ff
SPR7952,Hengelo,14:16,#228fb2ff
SPR7952,Borne,14:21,#228fb2ff
SPR7952,Almelo de Riet,14:26,#228fb2ff
SPR7952,Almelo,14:29,#228fb2ff
SPR7952,Almelo,14:30,#228fb2ff
SPR7952,Wierden,14:34,#228fb2ff
SPR7952,Wierden,14:36,#228fb2ff
SPR7954,Hengelo,14:43,#228fb2ff
SPR7954,Hengelo,14:46,#228fb2ff
SPR7954,Borne,14:51,#228fb2ff
SPR7954,Almelo de Riet,14:56,#228fb2ff
SPR7954,Almelo,14:59,#228fb2ff
SPR7954,Almelo,15:00,#228fb2ff
SPR7954,Wierden,15:04,#228fb2ff
SPR7954,Wierden,15:07,#228fb2ff
SPR7956,Hengelo,15:13,#228fb2ff
SPR7956,Hengelo,15:16,#228fb2ff
SPR7956,Borne,15:21,#228fb2ff
SPR7956,Almelo de Riet,15:26,#228fb2ff
SPR7956,Almelo,15:29,#228fb2ff
SPR7956,Almelo,15:30,#228fb2ff
SPR7956,Wierden,15:34,#228fb2ff
SPR7956,Wierden,15:36,#228fb2ff
SPR7958,Hengelo,15:43,#228fb2ff
SPR7958,Hengelo,15:46,#228fb2ff
SPR7958,Borne,15:51,#228fb2ff
SPR7958,Almelo de Riet,15:56,#228fb2ff
SPR7958,Almelo,15:59,#228fb2ff
SPR7958,Almelo,16:00,#228fb2ff
SPR7958,Wierden,16:04,#228fb2ff
SPR7958,Wierden,16:07,#228fb2ff
GOE1,Bad Bentheim,14:32,#ffa200ff
GOE1,Almelo,15:09,#ffa200ff
GOE1,Deventer,15:37,#ffa200ff
GOE1,Amersfoort Centraal,16:21,#ffa200ff
GOE2,Bad Bentheim,13:58,#ffa200ff
GOE2,Hengelo,14:24,#ffa200ff
GOE2,Hengelo,14:29,#ffa200ff
GOE2,Almelo,14:39,#ffa200ff
GOE2,Deventer,15:07,#ffa200ff
GOE2,Amersfoort Centraal,15:51,#ffa200ff
GOE3,Bad Bentheim,14:58,#ffa200ff
GOE3,Hengelo,15:24,#ffa200ff
GOE3,Hengelo,15:29,#ffa200ff
GOE3,Almelo,15:39,#ffa200ff
GOE3,Deventer,16:07,#ffa200ff
GOE3,Amersfoort Centraal,16:51,#ffa200ff
GOE4,Bad Bentheim,15:32,#ffa200ff
GOE4,Almelo,16:09,#ffa200ff
GOE4,Deventer,16:37,#ffa200ff
GOE4,Amersfoort Centraal,17:21,#ffa200ff
