train_id,station,time,color
ICE140,Bad Bentheim,19:51,#b50600ff
ICE140,Hengelo,20:07,#b50600ff
ICE140,Hengelo,20:09,#b50600ff
ICE140,Deventer,20:41,#b50600ff
ICE140,Deventer,20:47,#b50600ff
ICE140,Apeldoorn,20:57,#b50600ff
ICE140,Apeldoorn,20:59,#b50600ff
ICE140,Amersfoort Centraal,21:24,#b50600ff
STOP31276,Oldenzaal,20:03,#2100b2ff
STOP31276,Hengelo Oost,20:09,#2100b2ff
STOP31276,Hengelo,20:13,#2100b2ff
STOP31276,Hengelo,20:17,#2100b2ff
STOP31278,Oldenzaal,20:34,#2100b2ff
STOP31278,Hengelo Oost,20:40,#2100b2ff
STOP31278,Hengelo,20:44,#2100b2ff
STOP31278,Hengelo,20:47,#2100b2ff
STOP31280,Oldenzaal,21:04,#2100b2ff
STOP31280,Hengelo Oost,21:10,#2100b2ff
STOP31280,Hengelo,21:14,#2100b2ff
STOP31280,Hengelo,21:16,#2100b2ff
STOP31282,Oldenzaal,21:33,#2100b2ff
STOP31282,Hengelo Oost,21:39,#2100b2ff
STOP31282,Hengelo,21:43,#2100b2ff
STOP31282,Hengelo,21:46,#2100b2ff
SPR7076,Almelo,20:23,#3543b2ff
SPR7076,Wierden,20:28,#3543b2ff
SPR7076,Wierden,20:28,#3543b2ff
SPR7076,Rijssen,20:34,#3543b2ff
SPR7076,Holten,20:39,#3543b2ff
SPR7076,Deventer Colmschate,20:49,#3543b2ff
SPR7076,Deventer,20:54,#3543b2ff
SPR7076,Deventer,20:55,#3543b2ff
SPR7076,Twello,21:00,#3543b2ff
SPR7076,Apeldoorn Osseveld,21:05,#3543b2ff
SPR7076,Apeldoorn,21:10,#3543b2ff
SPR7078,Almelo,20:53,#3543b2ff
SPR7078,Wierden,20:58,#3543b2ff
SPR7078,Wierden,20:58,#3543b2ff
SPR7078,Rijssen,21:04,#3543b2ff
SPR7078,Holten,21:09,#3543b2ff
SPR7078,Deventer Colmschate,21:19,#3543b2ff
SPR7078,Deventer,21:24,#3543b2ff
SPR7078,Deventer,21:25,#3543b2ff
SPR7078,Twello,21:30,#3543b2ff
SPR7078,Apeldoorn Osseveld,21:35,#3543b2ff
SPR7078,Apeldoorn,21:40,#3543b2ff
SPR7080,Almelo,21:23,#3543b2ff
SPR7080,Wierden,21:28,#3543b2ff
SPR7080,Wierden,21:28,#3543b2ff
SPR7080,Rijssen,21:34,#3543b2ff
SPR7080,Holten,21:39,#3543b2ff
SPR7080,Deventer Colmschate,21:49,#3543b2ff
SPR7080,Deventer,21:54,#3543b2ff
SPR7080,Deventer,21:55,#3543b2ff
SPR7080,Twello,22:00,#3543b2ff
SPR7080,Apeldoorn Osseveld,22:05,#3543b2ff
SPR7080,Apeldoorn,22:10,#3543b2ff
SPR7082,Almelo,21:53,#3543b2ff
SPR7082,Wierden,21:58,#3543b2ff
SPR7082,Wierden,21:58,#3543b2ff
SPR7082,Rijssen,22:04,#3543b2ff
SPR7082,Holten,22:09,#3543b2ff
SPR7082,Deventer Colmschate,22:19,#3543b2ff
SPR7082,Deventer,22:24,#3543b2ff
SPR7082,Deventer,22:25,#3543b2ff
SPR7082,Twello,22:30,#3543b2ff
SPR7082,Apeldoorn Osseveld,22:35,#3543b2ff
SPR7082,Apeldoorn,22:40,#3543b2ff
IC 1776,Hengelo,20:23,#0d6200ff
IC 1776,Hengelo,20:24,#0d6200ff
IC 1776,Almelo,20:35,#0d6200ff
IC 1776,Almelo,20:36,#0d6200ff
IC 1776,Deventer,21:00,#0d6200ff
IC 1776,Deventer,21:03,#0d6200ff
IC 1776,Apeldoorn,21:13,#0d6200ff
IC 1776,Apeldoorn,21:14,#0d6200ff
IC 1776,Amersfoort Centraal,21:38,#0d6200ff
IC1778,Hengelo,20:55,#0d6200ff
IC1778,Hengelo,20:55,#0d6200ff
IC1778,Almelo,21:05,#0d6200ff
IC1778,Almelo,21:07,#0d6200ff
IC1778,Deventer,21:30,#0d6200ff
IC1778,Deventer,21:33,#0d6200ff
IC1778,Apeldoorn,21:43,#0d6200ff
IC1778,Apeldoorn,21:44,#0d6200ff
IC1778,Amersfoort Centraal,22:08,#0d6200ff
IC1780,Hengelo,21:23,#0d6200ff
IC1780,Hengelo,21:24,#0d6200ff
IC1780,Almelo,21:35,#0d6200ff
IC1780,Almelo,21:36,#0d6200ff
IC1780,Deventer,22:00,#0d6200ff
IC1780,Deventer,22:03,#0d6200ff
IC1780,Apeldoorn,22:13,#0d6200ff
IC1780,Apeldoorn,22:14,#0d6200ff
IC1780,Amersfoort Centraal,22:38,#0d6200ff
IC1782,Hengelo,21:53,#0d6200ff
IC1782,Hengelo,21:54,#0d6200ff
IC1782,Almelo,22:05,#0d6200ff
IC1782,Almelo,22:06,#0d6200ff
IC1782,Deventer,22:30,#0d6200ff
IC1782,Deventer,22:33,#0d6200ff
IC1782,Apeldoorn,22:43,#0d6200ff
IC1782,Apeldoorn,22:44,#0d6200ff
IC1782,Amersfoort Centraal,23:08,#0d6200ff
STOP20380,Bad Bentheim,20:08,#130066ff
STOP20380,Oldenzaal,20:19,#130066ff
STOP20380,Hengelo,20:26,#130066ff
STOP20382,Bad Bentheim,21:08,#130066ff
STOP20382,Oldenzaal,21:18,#130066ff
STOP20382,Hengelo,21:26,#130066ff
