train_id,station,time,color
ICE148,Bad Bentheim,11:51,#b50600ff
ICE148,Hengelo,12:07,#b50600ff
ICE148,Hengelo,12:09,#b50600ff
ICE148,Deventer,12:41,#b50600ff
ICE148,Deventer,12:47,#b50600ff
ICE148,Apeldoorn,12:57,#b50600ff
ICE148,Apeldoorn,12:59,#b50600ff
ICE148,Amersfoort Centraal,13:24,#b50600ff
STOP31244,Oldenzaal,12:03,#2100b2ff
STOP31244,Hengelo Oost,12:09,#2100b2ff
STOP31244,Hengelo,12:13,#2100b2ff
STOP31244,Hengelo,12:16,#2100b2ff
STOP31246,Oldenzaal,12:33,#2100b2ff
STOP31246,Hengelo Oost,12:39,#2100b2ff
STOP31246,Hengelo,12:43,#2100b2ff
STOP31246,Hengelo,12:46,#2100b2ff
STOP31248,Oldenzaal,13:03,#2100b2ff
STOP31248,Hengelo Oost,13:09,#2100b2ff
STOP31248,Hengelo,13:13,#2100b2ff
STOP31248,Hengelo,13:16,#2100b2ff
STOP31250,Oldenzaal,13:33,#2100b2ff
STOP31250,Hengelo Oost,13:39,#2100b2ff
STOP31250,Hengelo,13:43,#2100b2ff
STOP31250,Hengelo,13:46,#2100b2ff
SPR7044,Almelo,12:23,#3543b2ff
SPR7044,Wierden,12:28,#3543b2ff
SPR7044,Rijssen,12:34,#3543b2ff
SPR7044,Holten,12:39,#3543b2ff
SPR7044,Deventer Colmschate,12:49,#3543b2ff
SPR7044,Deventer,12:53,#3543b2ff
SPR7044,Deventer,12:55,#3543b2ff
SPR7044,Twello,13:00,#3543b2ff
SPR7044,Apeldoorn Osseveld,13:05,#3543b2ff
SPR7044,Apeldoorn,13:10,#3543b2ff
SPR7046,Almelo,12:53,#3543b2ff
SPR7046,Wierden,12:58,#3543b2ff
SPR7046,Rijssen,13:04,#3543b2ff
SPR7046,Holten,13:09,#3543b2ff
SPR7046,Deventer Colmschate,13:19,#3543b2ff
SPR7046,Deventer,13:24,#3543b2ff
SPR7046,Deventer,13:25,#3543b2ff
SPR7046,Twello,13:30,#3543b2ff
