Service:RDT-ID,Service:Date,Service:Type,Service:Company,Service:Train number,Service:Completely cancelled,Service:Partly cancelled,Service:Maximum delay,Stop:RDT-ID,Stop:Station code,Stop:Station name,Stop:Arrival time,Stop:Arrival delay,Stop:Arrival cancelled,Stop:Departure time,Stop:Departure delay,Stop:Departure cancelled,Stop:Platform change,Stop:Planned platform,Stop:Actual platform
12691000,2024-01-01,Intercity,NS Int,148,False,False,0,114308866,BH,Bad Bentheim,2024-01-01T11:48:00+01:00,1.0,False,2024-01-01T11:51:00+01:00,0.0,False,False,,
12691000,2024-01-01,Intercity,NS Int,148,False,False,0,114308867,HGL,Hengelo,2024-01-01T12:07:00+01:00,1.0,False,2024-01-01T12:09:00+01:00,1.0,False,False,2,2
12691000,2024-01-01,Intercity,NS Int,148,False,False,0,114308868,DV,Deventer,2024-01-01T12:41:00+01:00,5.0,False,2024-01-01T12:45:00+01:00,3.0,False,True,3,4
12691000,2024-01-01,Intercity,NS Int,148,False,False,0,114308869,APD,Apeldoorn,2024-01-01T12:57:00+01:00,1.0,False,2024-01-01T12:59:00+01:00,1.0,False,False,1,1
12691000,2024-01-01,Intercity,NS Int,148,False,False,0,114308870,AMF,Amersfoort Centraal,2024-01-01T13:24:00+01:00,0.0,False,2024-01-01T13:26:00+01:00,1.0,False,False,7,7
12691485,2024-01-01,Stoptrein,Eurobahn,20364,False,False,0,114313544,BH,Bad Bentheim,2024-01-01T12:03:00+01:00,5.0,False,2024-01-01T12:08:00+01:00,1.0,False,False,,
12691485,2024-01-01,Stoptrein,Eurobahn,20364,False,False,0,114313545,ODZ,Oldenzaal,2024-01-01T12:17:00+01:00,1.0,False,2024-01-01T12:18:00+01:00,0.0,False,False,1a,1a
12691485,2024-01-01,Stoptrein,Eurobahn,20364,False,False,0,114313546,HGL,Hengelo,2024-01-01T12:26:00+01:00,0.0,False,,,,False,11,11
12691566,2024-01-01,Intercity,NS,3636,False,False,0,114314352,DV,Deventer,2024-01-01T12:45:00+01:00,3.0,False,2024-01-01T12:46:00+01:00,4.0,False,True,4,3
12691696,2024-01-01,Intercity,NS,3638,False,False,0,114315661,DV,Deventer,2024-01-01T13:15:00+01:00,0.0,False,2024-01-01T13:16:00+01:00,0.0,False,False,4,4
12691758,2024-01-01,Stoptrein,Eurobahn,20366,False,False,0,114316305,BH,Bad Bentheim,2024-01-01T13:03:00+01:00,1.0,False,2024-01-01T13:08:00+01:00,0.0,False,False,,
12691758,2024-01-01,Stoptrein,Eurobahn,20366,False,False,0,114316306,ODZ,Oldenzaal,2024-01-01T13:17:00+01:00,0.0,False,2024-01-01T13:18:00+01:00,0.0,False,False,1a,1a
12691758,2024-01-01,Stoptrein,Eurobahn,20366,False,False,0,114316307,HGL,Hengelo,2024-01-01T13:26:00+01:00,0.0,False,,,,False,11,11
12691832,2024-01-01,Intercity,NS,3640,False,False,0,114317061,DV,Deventer,2024-01-01T13:45:00+01:00,0.0,False,2024-01-01T13:46:00+01:00,0.0,False,False,4,4
12691959,2024-01-01,Intercity,NS,3642,False,False,0,114318326,DV,Deventer,2024-01-01T14:15:00+01:00,1.0,False,2024-01-01T14:16:00+01:00,2.0,False,True,4,4b
12691982,2024-01-01,Sprinter,Blauwnet,7944,False,False,0,114318576,HGL,Hengelo,2024-01-01T12:13:00+01:00,0.0,False,2024-01-01T12:17:00+01:00,0.0,False,False,2b,2b
12691982,2024-01-01,Sprinter,Blauwnet,7944,False,False,0,114318577,BN,Borne,2024-01-01T12:22:00+01:00,0.0,False,2024-01-01T12:22:00+01:00,0.0,False,False,2,2
12691982,2024-01-01,Sprinter,Blauwnet,7944,False,False,0,114318578,AMRI,Almelo de Riet,2024-01-01T12:27:00+01:00,0.0,False,2024-01-01T12:27:00+01:00,0.0,False,False,1,1
12691982,2024-01-01,Sprinter,Blauwnet,7944,False,False,0,114318579,AML,Almelo,2024-01-01T12:30:00+01:00,0.0,False,2024-01-01T12:31:00+01:00,0.0,False,False,4b,4b
12691982,2024-01-01,Sprinter,Blauwnet,7944,False,False,0,114318580,WDN,Wierden,2024-01-01T12:36:00+01:00,0.0,False,2024-01-01T12:36:00+01:00,0.0,False,False,3,3
12692114,2024-01-01,Stoptrein,Blauwnet,31246,False,False,1,114319875,ODZ,Oldenzaal,,,,2024-01-01T12:33:00+01:00,0.0,False,False,1a,1a
12692114,2024-01-01,Stoptrein,Blauwnet,31246,False,False,0,114319876,HGLO,Hengelo Oost,2024-01-01T12:39:00+01:00,0.0,False,2024-01-01T12:39:00+01:00,0.0,False,False,1,1
12692114,2024-01-01,Stoptrein,Blauwnet,31246,False,False,0,114319877,HGL,Hengelo,2024-01-01T12:43:00+01:00,0.0,False,2024-01-01T12:46:00+01:00,0.0,False,False,2a,2a
12692125,2024-01-01,Sprinter,Blauwnet,7946,False,False,0,114319993,HGL,Hengelo,2024-01-01T12:43:00+01:00,1.0,False,2024-01-01T12:47:00+01:00,0.0,False,False,2b,2b
