Service:RDT-ID,Service:Date,Service:Type,Service:Company,Service:Train number,Service:Completely cancelled,Service:Partly cancelled,Service:Maximum delay,Stop:RDT-ID,Stop:Station code,Stop:Station name,Stop:Arrival time,Stop:Arrival delay,Stop:Arrival cancelled,Stop:Departure time,Stop:Departure delay,Stop:Departure cancelled,Stop:Platform change,Stop:Planned platform,Stop:Actual platform
12691370,2024-01-01,Intercity,NS Int,146,False,False,0,114312409,BH,Bad Bentheim,2024-01-01T13:48:00+01:00,2.0,False,2024-01-01T13:51:00+01:00,1.0,False,False,,
12691370,2024-01-01,Intercity,NS Int,146,False,False,0,114312410,HGL,Hengelo,2024-01-01T14:07:00+01:00,2.0,False,2024-01-01T14:09:00+01:00,3.0,False,False,2,2
12691370,2024-01-01,Intercity,NS Int,146,False,False,0,114312411,DV,Deventer,2024-01-01T14:41:00+01:00,2.0,False,2024-01-01T14:45:00+01:00,3.0,False,True,3,4
12691370,2024-01-01,Intercity,NS Int,146,False,False,0,114312412,APD,Apeldoorn,2024-01-01T14:57:00+01:00,0.0,False,2024-01-01T14:59:00+01:00,0.0,False,False,1,1
12691370,2024-01-01,Intercity,NS Int,146,False,False,0,114312413,AMF,Amersfoort Centraal,2024-01-01T15:24:00+01:00,1.0,False,2024-01-01T15:26:00+01:00,1.0,False,False,7,7
12692020,2024-01-01,Stoptrein,Eurobahn,20368,True,True,0,114318976,BH,Bad Bentheim,2024-01-01T14:03:00+01:00,0.0,True,2024-01-01T14:08:00+01:00,0.0,True,False,,
12692020,2024-01-01,Stoptrein,Eurobahn,20368,True,True,0,114318977,ODZ,Oldenzaal,2024-01-01T14:17:00+01:00,0.0,True,2024-01-01T14:18:00+01:00,0.0,True,False,,
12692020,2024-01-01,Stoptrein,Eurobahn,20368,True,True,0,114318978,HGL,Hengelo,2024-01-01T14:26:00+01:00,0.0,True,,,,False,,
12692097,2024-01-01,Intercity,NS,3644,False,False,0,114319742,DV,Deventer,2024-01-01T14:45:00+01:00,1.0,False,2024-01-01T14:46:00+01:00,3.0,False,True,4,3
12692229,2024-01-01,Intercity,NS,3646,False,False,0,114321050,DV,Deventer,2024-01-01T15:15:00+01:00,0.0,False,2024-01-01T15:16:00+01:00,5.0,False,False,4,4
12692291,2024-01-01,Stoptrein,Eurobahn,20370,False,False,0,114321695,BH,Bad Bentheim,2024-01-01T15:03:00+01:00,3.0,False,2024-01-01T15:08:00+01:00,0.0,False,False,,
