Service:RDT-ID,Service:Date,Service:Type,Service:Company,Service:Train number,Service:Completely cancelled,Service:Partly cancelled,Service:Maximum delay,Stop:RDT-ID,Stop:Station code,Stop:Station name,Stop:Arrival time,Stop:Arrival delay,Stop:Arrival cancelled,Stop:Departure time,Stop:Departure delay,Stop:Departure cancelled,Stop:Platform change,Stop:Planned platform,Stop:Actual platform
12690890,2024-01-01,Intercity,NS Int,240,False,False,0,114307809,BH,Bad Bentheim,2024-01-01T09:48:00+01:00,0.0,False,2024-01-01T09:51:00+01:00,0.0,False,False,,
12690890,2024-01-01,Intercity,NS Int,240,False,False,0,114307810,HGL,Hengelo,2024-01-01T10:07:00+01:00,0.0,False,2024-01-01T10:09:00+01:00,1.0,False,False,2,2
12690890,2024-01-01,Intercity,NS Int,240,False,False,0,114307811,DV,Deventer,2024-01-01T10:41:00+01:00,0.0,False,2024-01-01T10:45:00+01:00,0.0,False,True,3,4
12690890,2024-01-01,Intercity,NS Int,240,False,False,0,114307812,APD,Apeldoorn,2024-01-01T10:57:00+01:00,0.0,False,2024-01-01T10:59:00+01:00,0.0,False,False,1,1
12690890,2024-01-01,Intercity,NS Int,240,False,False,0,114307813,AMF,Amersfoort Centraal,2024-01-01T11:24:00+01:00,0.0,False,2024-01-01T11:26:00+01:00,0.0,False,False,7,7
12691037,2024-01-01,Stoptrein,Eurobahn,20360,False,False,0,114309235,BH,Bad Bentheim,2024-01-01T10:03:00+01:00,1.0,False,2024-01-01T10:08:00+01:00,0.0,False,False,,
12691037,2024-01-01,Stoptrein,Eurobahn,20360,False,False,0,114309236,ODZ,Oldenzaal,2024-01-01T10:17:00+01:00,0.0,False,2024-01-01T10:18:00+01:00,0.0,False,False,1a,1a
12691037,2024-01-01,Stoptrein,Eurobahn,20360,False,False,0,114309237,HGL,Hengelo,2024-01-01T10:26:00+01:00,0.0,False,,,,False,11,11
12691156,2024-01-01,Stoptrein,Eurobahn,20362,False,False,0,114310350,BH,Bad Bentheim,2024-01-01T11:03:00+01:00,0.0,False,2024-01-01T11:08:00+01:00,0.0,False,False,,
12691156,2024-01-01,Stoptrein,Eurobahn,20362,False,False,0,114310351,ODZ,Oldenzaal,2024-01-01T11:17:00+01:00,0.0,False,2024-01-01T11:18:00+01:00,0.0,False,False,1a,1a
12691156,2024-01-01,Stoptrein,Eurobahn,20362,False,False,0,114310352,HGL,Hengelo,2024-01-01T11:26:00+01:00,0.0,False,,,,False,11,11
12691211,2024-01-01,Intercity,NS,3632,False,False,0,114310861,DV,Deventer,2024-01-01T11:45:00+01:00,0.0,False,2024-01-01T11:46:00+01:00,0.0,False,False,4,4
12691368,2024-01-01,Intercity,NS,3630,False,False,0,114312386,DV,Deventer,2024-01-01T11:15:00+01:00,0.0,False,2024-01-01T11:16:00+01:00,0.0,False,False,4,4
12691387,2024-01-01,Intercity,NS,3634,False,False,0,114312582,DV,Deventer,2024-01-01T12:15:00+01:00,0.0,False,2024-01-01T12:16:00+01:00,0.0,False,False,4,4
12691402,2024-01-01,Intercity,NS,3628,False,False,0,114312738,DV,Deventer,2024-01-01T10:45:00+01:00,0.0,False,2024-01-01T10:46:00+01:00,1.0,False,True,4,3
12691431,2024-01-01,Sprinter,Blauwnet,7936,False,False,0,114313022,HGL,Hengelo,2024-01-01T10:13:00+01:00,0.0,False,2024-01-01T10:17:00+01:00,0.0,False,False,2b,2b
12691431,2024-01-01,Sprinter,Blauwnet,7936,False,False,0,114313023,BN,Borne,2024-01-01T10:22:00+01:00,0.0,False,2024-01-01T10:22:00+01:00,0.0,False,False,2,2
12691431,2024-01-01,Sprinter,Blauwnet,7936,False,False,0,114313024,AMRI,Almelo de Riet,2024-01-01T10:27:00+01:00,2.0,False,2024-01-01T10:27:00+01:00,2.0,False,False,1,1
12691431,2024-01-01,Sprinter,Blauwnet,7936,False,False,0,114313025,AML,Almelo,2024-01-01T10:30:00+01:00,1.0,False,2024-01-01T10:31:00+01:00,1.0,False,False,4b,4b
12691431,2024-01-01,Sprinter,Blauwnet,7936,False,False,0,114313026,WDN,Wierden,2024-01-01T10:36:00+01:00,3.0,False,2024-01-01T10:36:00+01:00,3.0,False,False,3,3
12691582,2024-01-01,Stoptrein,Blauwnet,31238,False,False,1,114314487,ODZ,Oldenzaal,,,,2024-01-01T10:33:00+01:00,0.0,False,False,1a,1a
12691582,2024-01-01,Stoptrein,Blauwnet,31238,False,False,0,114314488,HGLO,Hengelo Oost,2024-01-01T10:39:00+01:00,1.0,False,2024-01-01T10:39:00+01:00,1.0,False,False,1,1
12691582,2024-01-01,Stoptrein,Blauwnet,31238,False,False,0,114314489,HGL,Hengelo,2024-01-01T10:43:00+01:00,1.0,False,2024-01-01T10:46:00+01:00,0.0,False,False,2a,2a
12691599,2024-01-01,Sprinter,Blauwnet,7938,True,True,0,114314660,HGL,Hengelo,2024-01-01T10:43:00+01:00,0.0,True,2024-01-01T10:47:00+01:00,0.0,True,False,,
12691599,2024-01-01,Sprinter,Blauwnet,7938,True,True,0,114314661,BN,Borne,2024-01-01T10:52:00+01:00,0.0,True,2024-01-01T10:52:00+01:00,0.0,True,False,,
12691599,2024-01-01,Sprinter,Blauwnet,7938,True,True,0,114314662,AMRI,Almelo de Riet,2024-01-01T10:57:00+01:00,0.0,True,2024-01-01T10:57:00+01:00,0.0,True,False,,
12691599,2024-01-01,Sprinter,Blauwnet,7938,True,True,0,114314663,AML,Almelo,2024-01-01T11:00:00+01:00,0.0,True,2024-01-01T11:01:00+01:00,0.0,True,False,,
12691599,2024-01-01,Sprinter,Blauwnet,7938,True,True,0,114314664,WDN,Wierden,2024-01-01T11:05:00+01:00,0.0,True,2024-01-01T11:07:00+01:00,0.0,True,False,,
12691642,2024-01-01,Intercity,NS,1738,False,False,0,114315094,HGL,Hengelo,2024-01-01T10:53:00+01:00,0.0,False,2024-01-01T10:54:00+01:00,1.0,False,False,2a,2a
12691642,2024-01-01,Intercity,NS,1738,False,False,0,114315095,AML,Almelo,2024-01-01T11:05:00+01:00,0.0,False,2024-01-01T11:06:00+01:00,1.0,False,False,4b,4b
12691642,2024-01-01,Intercity,NS,1738,False,False,0,114315096,DV,Deventer,2024-01-01T11:30:00+01:00,0.0,False,2024-01-01T11:33:00+01:00,0.0,False,False,4,4
12691642,2024-01-01,Intercity,NS,1738,False,False,0,114315097,APD,Apeldoorn,2024-01-01T11:43:00+01:00,0.0,False,2024-01-01T11:44:00+01:00,0.0,False,False,1,1
12691642,2024-01-01,Intercity,NS,1738,False,False,0,114315098,AMF,Amersfoort Centraal,2024-01-01T12:08:00+01:00,0.0,False,2024-01-01T12:10:00+01:00,0.0,False,False,6,6
12691674,2024-01-01,Sprinter,NS,7038,False,False,1,114315408,AML,Almelo,,,,2024-01-01T10:53:00+01:00,0.0,False,False,3,3
12691674,2024-01-01,Sprinter,NS,7038,False,False,0,114315409,WDN,Wierden,2024-01-01T10:58:00+01:00,0.0,False,2024-01-01T10:58:00+01:00,0.0,False,False,2,2
12691674,2024-01-01,Sprinter,NS,7038,False,False,0,114315410,RSN,Rijssen,2024-01-01T11:03:00+01:00,1.0,False,2024-01-01T11:03:00+01:00,1.0,False,False,3,3
12691674,2024-01-01,Sprinter,NS,7038,False,False,0,114315411,HON,Holten,2024-01-01T11:09:00+01:00,0.0,False,2024-01-01T11:09:00+01:00,0.0,False,False,2,2
12691674,2024-01-01,Sprinter,NS,7038,False,False,0,114315412,DVC,Deventer Colmschate,2024-01-01T11:19:00+01:00,0.0,False,2024-01-01T11:19:00+01:00,0.0,False,False,1,1
12691674,2024-01-01,Sprinter,NS,7038,False,False,0,114315413,DV,Deventer,2024-01-01T11:24:00+01:00,0.0,False,2024-01-01T11:25:00+01:00,0.0,False,False,4,4
12691674,2024-01-01,Sprinter,NS,7038,False,False,0,114315414,TWL,Twello,2024-01-01T11:30:00+01:00,0.0,False,2024-01-01T11:30:00+01:00,0.0,False,False,2,2
12691674,2024-01-01,Sprinter,NS,7038,False,False,0,114315415,APDO,Apeldoorn Osseveld,2024-01-01T11:36:00+01:00,0.0,False,2024-01-01T11:36:00+01:00,0.0,False,False,2,2
12691674,2024-01-01,Sprinter,NS,7038,False,False,0,114315416,APD,Apeldoorn,2024-01-01T11:40:00+01:00,0.0,False,,,,False,2,2
12691676,2024-01-01,Stoptrein,RRReis,31322,False,False,0,114315433,BNN,Barneveld Noord,2024-01-01T11:16:00+01:00,0.0,False,2024-01-01T11:17:00+01:00,0.0,False,False,1,1
12691676,2024-01-01,Stoptrein,RRReis,31322,False,False,0,114315434,HVL,Hoevelaken,2024-01-01T11:24:00+01:00,0.0,False,2024-01-01T11:25:00+01:00,0.0,False,False,1,1
12691676,2024-01-01,Stoptrein,RRReis,31322,False,False,0,114315435,AMF,Amersfoort Centraal,2024-01-01T11:31:00+01:00,0.0,False,,,,False,4b,4b
12691719,2024-01-01,Sprinter,Blauwnet,7940,False,False,0,114315900,HGL,Hengelo,2024-01-01T11:13:00+01:00,0.0,False,2024-01-01T11:17:00+01:00,1.0,False,False,2b,2b
12691719,2024-01-01,Sprinter,Blauwnet,7940,False,False,0,114315901,BN,Borne,2024-01-01T11:22:00+01:00,0.0,False,2024-01-01T11:22:00+01:00,0.0,False,False,2,2
12691719,2024-01-01,Sprinter,Blauwnet,7940,False,False,0,114315902,AMRI,Almelo de Riet,2024-01-01T11:27:00+01:00,2.0,False,2024-01-01T11:27:00+01:00,2.0,False,False,1,1
12691719,2024-01-01,Sprinter,Blauwnet,7940,False,False,0,114315903,AML,Almelo,2024-01-01T11:30:00+01:00,1.0,False,2024-01-01T11:31:00+01:00,1.0,False,False,4b,4b
12691719,2024-01-01,Sprinter,Blauwnet,7940,False,False,0,114315904,WDN,Wierden,2024-01-01T11:36:00+01:00,1.0,False,2024-01-01T11:36:00+01:00,1.0,False,False,3,3
12691812,2024-01-01,Stoptrein,RRReis,31324,False,False,0,114316829,BNN,Barneveld Noord,2024-01-01T11:46:00+01:00,0.0,False,2024-01-01T11:47:00+01:00,0.0,False,False,1,1
12691812,2024-01-01,Stoptrein,RRReis,31324,False,False,0,114316830,HVL,Hoevelaken,2024-01-01T11:54:00+01:00,0.0,False,2024-01-01T11:55:00+01:00,0.0,False,False,1,1
12691812,2024-01-01,Stoptrein,RRReis,31324,False,False,0,114316831,AMF,Amersfoort Centraal,2024-01-01T12:01:00+01:00,1.0,False,,,,True,4b,5b
12691851,2024-01-01,Stoptrein,Blauwnet,31242,False,False,1,114317215,ODZ,Oldenzaal,,,,2024-01-01T11:33:00+01:00,0.0,False,False,1a,1a
12691851,2024-01-01,Stoptrein,Blauwnet,31242,False,False,0,114317216,HGLO,Hengelo Oost,2024-01-01T11:39:00+01:00,0.0,False,2024-01-01T11:39:00+01:00,0.0,False,False,1,1
12691851,2024-01-01,Stoptrein,Blauwnet,31242,False,False,0,114317217,HGL,Hengelo,2024-01-01T11:43:00+01:00,0.0,False,2024-01-01T11:46:00+01:00,0.0,False,False,2a,2a
12691860,2024-01-01,Sprinter,Blauwnet,7942,False,False,0,114317315,HGL,Hengelo,2024-01-01T11:43:00+01:00,0.0,False,2024-01-01T11:47:00+01:00,0.0,False,False,2b,2b
12691860,2024-01-01,Sprinter,Blauwnet,7942,False,False,0,114317316,BN,Borne,2024-01-01T11:52:00+01:00,0.0,False,2024-01-01T11:52:00+01:00,0.0,False,False,2,2
12691860,2024-01-01,Sprinter,Blauwnet,7942,False,False,0,114317317,AMRI,Almelo de Riet,2024-01-01T11:57:00+01:00,0.0,False,2024-01-01T11:57:00+01:00,0.0,False,False,1,1
12691860,2024-01-01,Sprinter,Blauwnet,7942,False,False,0,114317318,AML,Almelo,2024-01-01T12:00:00+01:00,0.0,False,2024-01-01T12:01:00+01:00,0.0,False,False,4b,4b
12691860,2024-01-01,Sprinter,Blauwnet,7942,False,False,0,114317319,WDN,Wierden,2024-01-01T12:05:00+01:00,0.0,False,2024-01-01T12:07:00+01:00,0.0,False,False,3,3
12691901,2024-01-01,Intercity,NS,1742,False,False,0,114317732,HGL,Hengelo,2024-01-01T11:52:00+01:00,0.0,False,2024-01-01T11:54:00+01:00,0.0,False,False,2a,2a
12691901,2024-01-01,Intercity,NS,1742,False,False,0,114317733,AML,Almelo,2024-01-01T12:05:00+01:00,0.0,False,2024-01-01T12:06:00+01:00,0.0,False,False,4b,4b
12691901,2024-01-01,Intercity,NS,1742,False,False,0,114317734,DV,Deventer,2024-01-01T12:30:00+01:00,0.0,False,2024-01-01T12:33:00+01:00,0.0,False,False,4,4
12691901,2024-01-01,Intercity,NS,1742,False,False,0,114317735,APD,Apeldoorn,2024-01-01T12:43:00+01:00,0.0,False,2024-01-01T12:44:00+01:00,0.0,False,False,1,1
12691901,2024-01-01,Intercity,NS,1742,False,False,0,114317736,AMF,Amersfoort Centraal,2024-01-01T13:08:00+01:00,0.0,False,2024-01-01T13:10:00+01:00,0.0,False,False,6,6
12691935,2024-01-01,Stoptrein,RRReis,31326,False,False,0,114318072,BNN,Barneveld Noord,2024-01-01T12:16:00+01:00,0.0,False,2024-01-01T12:17:00+01:00,0.0,False,False,1,1
12691935,2024-01-01,Stoptrein,RRReis,31326,False,False,0,114318073,HVL,Hoevelaken,2024-01-01T12:24:00+01:00,0.0,False,2024-01-01T12:25:00+01:00,0.0,False,False,1,1
12691935,2024-01-01,Stoptrein,RRReis,31326,False,False,0,114318074,AMF,Amersfoort Centraal,2024-01-01T12:31:00+01:00,0.0,False,,,,True,4b,5b
12691936,2024-01-01,Sprinter,NS,7042,False,False,0,114318075,AML,Almelo,,,,2024-01-01T11:53:00+01:00,0.0,False,False,3,3
12691936,2024-01-01,Sprinter,NS,7042,False,False,0,114318076,WDN,Wierden,2024-01-01T11:58:00+01:00,0.0,False,2024-01-01T11:58:00+01:00,0.0,False,False,2,2
