Service:RDT-ID,Service:Date,Service:Type,Service:Company,Service:Train number,Service:Completely cancelled,Service:Partly cancelled,Service:Maximum delay,Stop:RDT-ID,Stop:Station code,Stop:Station name,Stop:Arrival time,Stop:Arrival delay,Stop:Arrival cancelled,Stop:Departure time,Stop:Departure delay,Stop:Departure cancelled,Stop:Platform change,Stop:Planned platform,Stop:Actual platform
12690891,2024-01-01,Intercity,NS Int,242,False,False,0,114307820,BH,Bad Bentheim,2024-01-01T07:48:00+01:00,3.0,False,2024-01-01T07:51:00+01:00,5.0,False,False,,
12690891,2024-01-01,Intercity,NS Int,242,False,False,0,114307821,HGL,Hengelo,2024-01-01T08:07:00+01:00,7.0,False,2024-01-01T08:09:00+01:00,8.0,False,False,2,2
12690891,2024-01-01,Intercity,NS Int,242,False,False,0,114307822,DV,Deventer,2024-01-01T08:41:00+01:00,10.0,False,2024-01-01T08:45:00+01:00,8.0,False,True,3,4
12690891,2024-01-01,Intercity,NS Int,242,False,False,0,114307823,APD,Apeldoorn,2024-01-01T08:57:00+01:00,7.0,False,2024-01-01T08:59:00+01:00,8.0,False,False,1,1
12690891,2024-01-01,Intercity,NS Int,242,False,False,0,114307824,AMF,Amersfoort Centraal,2024-01-01T09:24:00+01:00,10.0,False,2024-01-01T09:26:00+01:00,9.0,False,False,7,7
12690895,2024-01-01,Stoptrein,Eurobahn,20354,True,True,0,114307865,BH,Bad Bentheim,2024-01-01T08:03:00+01:00,0.0,True,2024-01-01T08:08:00+01:00,0.0,True,False,,
12690895,2024-01-01,Stoptrein,Eurobahn,20354,True,True,0,114307866,ODZ,Oldenzaal,2024-01-01T08:17:00+01:00,0.0,True,2024-01-01T08:18:00+01:00,0.0,True,False,,
12690895,2024-01-01,Stoptrein,Eurobahn,20354,True,True,0,114307867,HGL,Hengelo,2024-01-01T08:26:00+01:00,0.0,True,,,,False,,
12690929,2024-01-01,Stoptrein,Eurobahn,20358,False,False,0,114308221,BH,Bad Bentheim,2024-01-01T09:03:00+01:00,4.0,False,2024-01-01T09:08:00+01:00,0.0,False,False,,
12690929,2024-01-01,Stoptrein,Eurobahn,20358,False,False,0,114308222,ODZ,Oldenzaal,2024-01-01T09:17:00+01:00,1.0,False,2024-01-01T09:18:00+01:00,0.0,False,False,1a,1a
