train_id;ICE146;STOP31252;STOP31254;STOP31256;STOP31258;SPR7052;SPR7054;SPR7056;SPR7058;IC 1752;IC1754;IC1756;IC1758;STOP20368;STOP20370;SPR31338;SPR31442;SPR31340;SPR31444;SPR31342;SPR31446;SPR31344;SPR31448;IC3644;IC3646;IC3648;IC3650;IC1554;IC1556;IC1558;IC17954;IC17958;SPR7952;SPR7954;SPR7956;SPR7958;GOE1;GOE2;GOE3;GOE4
color;Red;Blue;Blue;Blue;Blue;Blue;Blue;Blue;Blue;Green;Green;Green;Green;Blue;Blue;Blue;Blue;Blue;Blue;Blue;Blue;Blue;Blue;Green;Green;Green;Green;Green;Green;Green;Green;Green;Blue;Blue;Blue;Blue;Orange;Orange;Orange;Orange
Bad Bentheim;13:51;;;;;;;;;;;;;14:08;15:08;;;;;;;;;;;;;;;;;;;;;;14:32;13:58;14:58;15:32
Oldenzaal;;14:03;14:33;15:03;15:33;;;;;;;;;14:18;15:18;;;;;;;;;;;;;;;;;;;;;;;;;
Hengelo Oost;;14:09;14:39;15:09;15:39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hengelo;14:07;14:13;14:43;15:13;15:43;;;;;14:23;14:52;15:23;15:52;14:26;15:26;;;;;;;;;;;;;;;;14:38;15:38;14:13;14:43;15:13;15:43;;14:24;15:24;
Hengelo;14:09;14:16;14:46;15:16;15:46;;;;;14:24;14:54;15:24;15:54;;;;;;;;;;;;;;;;;;14:39;15:39;14:16;14:46;15:16;15:46;;14:29;15:29;
Borne;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14:21;14:51;15:21;15:51;;;;
Almelo de Riet;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14:26;14:56;15:26;15:56;;;;
Almelo;;;;;;;;;;14:35;15:05;15:35;16:05;;;;;;;;;;;;;;;;;;14:49;15:49;14:29;14:59;15:29;15:59;;;;
Almelo;;;;;;14:23;14:53;15:23;15:53;14:36;15:06;15:36;16:06;;;;;;;;;;;;;;;;;;14:50;15:50;14:30;15:00;15:30;16:00;15:09;14:39;15:39;16:09
Wierden;;;;;;14:28;14:58;15:28;15:58;;;;;;;;;;;;;;;;;;;;;;14:54;15:54;14:34;15:04;15:34;16:04;;;;
Wierden;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14:36;15:07;15:36;16:07;;;;
Rijssen;;;;;;14:34;15:04;15:34;16:04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Holten;;;;;;14:39;15:09;15:39;16:09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Deventer Colmschate;;;;;;14:49;15:19;15:49;16:19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Snippeling Aansluiting;;;;;;;;;;;;;;;;;;;;;;;;14:43;15:13;15:43;16:13;;;;;;;;;;;;;
Deventer;14:41;;;;;14:54;15:24;15:54;16:24;15:00;15:30;16:00;16:30;;;;;;;;;;;14:45;15:15;15:45;16:15;;;;;;;;;;15:37;15:07;16:07;16:37
Deventer;14:47;;;;;14:55;15:25;15:55;16:25;15:03;15:33;16:03;16:33;;;;;;;;;;;14:46;15:16;15:46;16:16;15:19;15:49;16:18;;;;;;;;;;
Deventer aansluiting Noord;;;;;;;;;;;;;;;;;;;;;;;;14:47;15:17;15:47;16:17;;;;;;;;;;;;;
Twello;;;;;;15:00;15:30;16:00;16:30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Apeldoorn Osseveld;;;;;;15:05;15:35;16:05;16:35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Apeldoorn;14:57;;;;;15:10;15:40;16:10;16:40;15:13;15:43;16:13;16:43;;;;;;;;;;;;;;;15:29;15:59;16:28;;;;;;;;;;
Apeldoorn;14:59;;;;;;;;;15:14;15:44;16:14;16:44;;;;;;;;;;;;;;;15:30;16:00;16:30;;;;;;;;;;
Barneveld Noord;;;;;;;;;;;;;;;;15:17;15:32;15:47;16:02;16:17;16:32;16:47;17:02;;;;;;;;;;;;;;;;;
Hoevelaken;;;;;;;;;;;;;;;;15:24;15:39;15:54;16:09;16:24;16:39;16:54;17:09;;;;;;;;;;;;;;;;;
Amersfoort Centraal;15:24;;;;;;;;;15:38;16:08;16:38;17:08;;;15:30;15:45;16:00;16:15;16:30;16:45;17:00;17:15;;;;;15:54;16:24;16:54;;;;;;;16:21;15:51;16:51;17:21
